"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","6684","","LoginTest","","LoginTest","","exit",""
"passed","","","8918","","ConstructorTest","","ConstructorTest","","goToBuns",""
"passed","","","6517","","LoginTest","","LoginTest","","goToConstructor",""
"passed","","","6766","","RegistrationTest","","RegistrationTest","","registration",""
"passed","","","10161","","ConstructorTest","","ConstructorTest","","goToConstructor",""
"passed","","","6067","","ConstructorTest","","ConstructorTest","","goToFillings",""
"passed","","","29392","","RegistrationTest","","RegistrationTest","","deleteUser",""
"passed","","","5362","","RegistrationTest","","RegistrationTest","","registrationWithOtherButton",""
"passed","","","6239","","LoginTest","","LoginTest","","loginWithLogInAccountButton",""
"passed","","","6348","","LoginTest","","LoginTest","","loginInRegistrationForm",""
"passed","","","5315","","LoginTest","","LoginTest","","goToStellarBurger",""
"passed","","","8859","","LoginTest","","LoginTest","","loginWithPersonalAreaButton",""
"passed","","","6498","","LoginTest","","LoginTest","","goToPersonalAccount",""
"passed","","","8303","","RegistrationTest","","RegistrationTest","","wrongPassword",""
"passed","","","11113","","LoginTest","","LoginTest","","loginInRestorePasswordButton",""
"passed","","","5911","","ConstructorTest","","ConstructorTest","","goToSauce",""
